number,academic,conduct,year
465,83.73,85,4
466,95,85,4
467,60,85,4
468,67.67,85,4
469,63,83,4
470,70,85,4
471,67.13,83,4
472,74,85,4
473,78.67,85,4
474,0,83,4
475,0,85,4
476,89,83,4
477,27.38,86,4
478,61.75,85,4
479,61,87,4
480,63,85,4
481,71.64,87,4
482,88,87,4
483,80.29,87,4
484,41.7,87,4
485,93,88,4
486,62.33,86,4
487,1.88,88,3
488,60.75,85,4
489,60.67,87,4
490,68.89,85,4
491,52.62,87,4
492,70,85,4
493,75.2,87,4
494,64.75,83,4
495,79.36,87,4
496,70.64,87,4
497,60,85,4
498,72.7,87,4
499,90,88,5
500,83.29,88,5
501,90,86,5
502,83.75,86,5
503,74.8,86,5
504,53,85.5,5
505,86.38,87.5,5
506,71.14,85.5,5
507,84.5,90.5,5
508,84.8,88.5,5
509,76.33,88,5
510,84.75,86.5,5
511,78.5,89,5
512,79.5,86.5,5
513,56.17,88,5
514,43.06,88.5,5
515,66.45,85,5
516,77.5,86.5,5
517,79,86,5
518,89.8,88.5,5
519,82.4,89,5
520,87.6,86.5,5
521,72.27,85,5
522,83.29,86,5
523,85.67,89,5
524,81.64,86.5,5
525,61,86.5,5
526,82.13,88,5
527,77.88,88.5,5
528,69.5,89,5
529,72.57,86.5,5
530,67.93,88.5,5
531,66,87.5,5
532,88,88,5
533,80.67,86,5
534,88,88.5,5
535,82.5,87,5
536,80,87.5,5
537,78.14,86.5,5
538,83.67,86,5
539,77,86,5
540,80.24,86.5,5
541,86.17,89,5
542,73.5,86,5
543,85,88,5
544,78.54,88.5,5
545,81,88.5,5
546,91,89,5
547,84.21,86.5,5
548,53.55,88.5,5
549,64,88,4
550,82.56,88,4
551,78,90,4
552,78.5,90,4
553,70,90,4
554,46.89,88,4
555,83.22,89,4
556,81.33,88,4
557,86.89,92,4
558,77,90,4
559,72.5,90,4
560,80.67,89,4
561,56.4,87,4
562,45.82,87,4
563,81.94,88,4
564,84.67,87,4
565,68,85,4
566,80,87,4
567,82.5,86,4
568,58.58,85,4
569,82.92,86,4
570,87.56,86,4
571,78.57,86,4
572,45,85,4
573,80,86,4
574,87,86,4
575,0,86,4
576,78.88,88,4
577,74,86,4
578,67,88,4
579,87,88,4
580,84,88,4
581,77.89,89,4
582,46.67,90,4
583,73,89,4
584,78,85,4
585,83.95,90,5
586,70.45,85,4
587,68,85,4
588,60,87.5,4
589,61.44,85,4
590,0,85,4
591,92,85,4
592,66.88,85,4
593,85.56,85,4
594,71.8,85,4
595,71.43,85,4
596,73.67,85,4
597,74,85,4
598,0,85,4
599,69.22,85,4
600,60,85,4
601,60,85,4
602,81.86,85,4
603,69,85,4
604,50,85,4
605,63,87.5,4
606,19.33,85,4
607,84,86,4
608,82.94,85,4
609,89,85,4
610,77.8,85,4
611,86.23,85,4
612,53.45,85,4
613,60.33,85,4
614,71.56,85,4
615,0,85,4
616,0,86,4
617,76.58,86,4
618,77.88,85,4
619,83.43,85,4
620,48,85,4
621,53.9,86,4
622,35.5,86,4
623,77.71,86,4
624,60,87,4
625,60,87,4
626,80,88,4
627,62.8,87,4
628,60,87,4
629,82.71,87,4
630,42,85,4
631,80,85,4
632,56.8,87,4
633,72,85,4
634,38.5,85,4
635,70.55,85,4
636,37.33,85,4
637,10.09,89,3
638,72.29,85,4
639,60,85,4
640,36.67,85,4
641,53.91,85,4
642,88.08,85,4
643,70.63,85,4
644,0,85,4
645,51.88,86,4
646,0,85,4
647,67.13,85,4
648,81,85,4
649,84.19,85,4
650,73.25,85,4
651,66.86,85,4
652,69.15,85,4
653,73.73,93,5
654,70.29,93,5
655,93.25,85,5
656,70.55,85,5
657,84.6,93,5
658,91.36,95,5
659,72.44,85,5
660,77.71,95,5
661,76.92,95,5
662,69.55,85,5
663,88.45,85,5
664,83.42,89,5
665,84.2,93,5
666,85.6,85,5
667,76.27,95,5
668,75.14,85,5
669,72.55,85,5
670,47.47,80,5
671,82.39,85,5
672,66.67,85,5
673,75.24,82,5
674,73.86,85,5
675,60.14,89,5
676,84.67,82,5
677,39.95,85,5
678,69.22,95,5
679,87.18,85,5
680,79.36,85,5
681,79.15,85,5
682,78.18,85,5
683,75.18,85,5
684,75.36,93,5
685,82.69,85,5
686,80.11,85,5
687,76.16,87,5
688,73.5,93,5
689,69.83,87,5
690,70.78,87,5
691,77.44,85,5
692,86,91,5
693,61.27,85,5
694,73.33,87,5
695,80.84,95,5
696,84.78,93,5
697,74.12,80,5
698,79.71,93,5
699,76.44,80,5
700,49.92,85,4
701,74.19,93,5
702,55.95,87,5
703,76.61,87,5
704,66.55,90,3
705,77.37,95,5
706,75.18,89,5
707,80.67,87,5
708,92,87,5
709,86.06,87,5
710,81,87,5
711,81.45,87,5
712,82.33,91,5
713,78.09,88,5
714,69.09,80,5
715,80.64,87,5
716,79,87,5
717,66.82,85,5
718,83.42,87,5
719,82.56,87,5
720,86.14,95,5
721,75.33,95,5
722,64.42,87,5
723,85.18,87,5
724,90.3,87,5
725,71.22,85,5
726,81.6,95,5
727,86.22,87,5
728,86.91,89,5
729,72.11,87,5
730,76.28,93,5
731,81.5,93,5
732,88.38,87,5
733,80.82,85,5
734,85.45,89,5
735,87.89,87,5
736,75.23,87,5
737,64.5,80,5
738,81.31,93,5
739,55.2,87,5
740,80.36,87,5
741,78.24,89,5
742,78.95,87,5
743,77.47,87,5
744,78.57,95,5
745,73.43,89,5
746,90.88,87,5
747,79.39,87,5
748,67.36,80,5
749,72.09,87,5
750,82.42,87,5
751,65.05,80,5
752,66.64,85,5
753,77.36,85,5
754,66.57,80,5
755,56.67,85,4
756,60,85,4
757,84.75,84,4
758,70,86,4
759,88.89,88,4
760,86,87,4
761,50.8,90,4
762,15,85,4
763,56,85,4
764,25.65,89,4
765,21.6,85,4
766,94,85,4
767,77.5,85,4
768,92,85,4
769,66.5,85,4
770,76.4,85,4
771,81,85,4
772,68.68,88,4
773,74,85,4
774,62.76,88,4
775,77.75,88,4
776,0,88,4
777,0,88,4
778,80,83,4
779,0,88,4
780,71,87,4
781,60.85,85,4
782,65.56,85,4
783,85.71,87,4
784,81.47,87,4
785,77.32,93,4
786,90.45,91,4
787,82.14,85,4
788,76.76,85,4
789,62.52,87,3
790,84.83,87,4
791,83.7,84,3
792,58.94,85,4
793,61.6,85,4
794,72.48,85,4
795,68.59,85,4
796,65.77,84,3
797,63,87,4
798,64,85,4
799,78.16,87,4
800,72.62,87,4
801,95.27,87,4
802,80.26,91,4
803,69.47,87,4
804,76.05,85,4
805,84.41,91,4
806,70.52,83,4
807,80.2,87,4
808,83.15,87,4
809,72.05,91,4
810,82.14,87,4
811,80.41,87,4
812,67.67,85,4
813,78.36,81,3
814,59.9,85,4
815,78.42,83,4
816,64,85,4
817,17.94,85,4
818,70.67,87,4
819,45.36,87,4
820,44.82,85,4
821,12.54,85,4
822,81,89,4
823,74.86,93,4
824,72.14,89,4
825,58.5,89,4
826,67,89,4
827,39.48,89,4
828,76.4,89,4
829,92.67,93,4
830,91.43,95,4
831,68.55,89,4
832,70.27,89,4
833,79.75,89,4
834,55.85,89,4
835,70.67,89,4
836,61.6,89,4
837,74.5,89,4
838,72.06,89,4
839,87.44,93,4
840,77.57,89,4
841,81.67,89,4
842,79.62,89,4
843,68.57,89,4
844,72.5,89,4
845,74.42,89,4
846,75,89,4
847,54.1,89,4
848,71.84,89,4
849,73.36,87,4
850,84.5,89,4
851,75.67,89,4
852,67.5,89,4
853,76.78,93,4
854,93.79,93,4
855,73.89,89,4
856,63.32,89,4
857,66.23,89,4
858,76.14,89,4
859,68.7,89,4
860,78,89,4
861,70.41,89,4
862,78.2,93,4
863,67.25,89,4
864,65.82,89,4
865,84,93,4
866,63.92,89,4
867,70.55,89,4
868,67.27,93,4
869,56.07,89,4
870,60.48,89,4
871,88.05,86,4
872,72.65,88.5,4
873,76.59,81,4
874,75.38,87,4
875,54.14,85,3
876,84.59,83,4
877,49.43,84,3
878,72.69,84,4
879,74.93,81,4
880,71.13,83,4
881,75.05,81,4
882,72.81,87,4
883,84.5,81,4
884,66.75,85,4
885,80.47,85,4
886,48.58,83,4
887,79.47,82,4
888,73.14,87,4
889,76,81,4
890,72.63,81,4
891,63.14,83,4
892,78.05,83,4
893,62.86,81,4
894,88.77,83,4
895,65.95,81,4
896,85.55,85,4
897,75.39,83,4
898,68.95,81,4
899,78.91,83,4
900,66.05,86,3
901,70.05,81,4
902,56.45,81,4
903,65.29,83,4
904,74.48,83,4
905,36.69,84,3
906,83.96,83,4
907,61.32,85,4
908,78.71,87,4
909,48.2,81,4
910,69.27,83,4
911,57.71,81,4
912,80.14,87,4
913,72.41,85,4
914,87,90,4
915,68.13,85,4
916,86.47,87,4
917,75.36,85,4
918,68.7,90,4
919,82.29,87,4
920,56.59,81,4
921,86.45,81,4
922,78.17,85,4
923,86.95,87,4
924,75.8,85,4
925,68.77,81,4
926,61.25,81,4
927,71.41,86,4
928,90.15,88,4
929,60.59,81,4
930,90.62,81,4
931,87.67,86,4
932,76.74,88,4
933,86.94,87,4
934,71.59,83,4
935,74.13,81,4
936,64.32,81,4
937,80,85,4
938,65.31,80,3
939,82.71,81,4
940,56.59,81,4
941,69.95,81,4
942,72.81,85,4
943,78.64,88.5,4
944,81.87,86,4
945,77.08,82,4
946,67.78,85,4
947,76.22,90,4
948,81.18,81,4
949,78.55,88,4
950,69.89,86,4
951,76.11,81,4
952,70.16,81,4
953,51.14,81,4
954,78.95,81,4
955,24,81,4
956,42.56,81,4
957,72.38,81,4
958,54.95,81,4
959,67.59,81,4
960,65.72,81,4
961,69.36,81,4
962,52.32,85,4
963,62.55,86,4
964,59.67,85,4
965,75.29,85,4
966,60.4,87,4
967,87.44,86,4
968,68.6,86,4
969,71.27,85,4
970,81.11,85,4
971,80.4,85,4
972,70.93,87,4
973,77.89,87,4
974,73.5,85,4
975,73.69,85,4
976,76.82,85,4
977,78.71,85,4
978,85,85,4
979,68.86,85,4
980,74.89,85,4
981,81.91,85,4
982,70.55,85,4
983,78.33,85,4
984,66.78,85,4
985,81.22,85,4
986,64.22,85,4
987,68.7,86,4
988,50.21,85,4
989,80.6,85,4
990,68.4,85,4
991,84.55,85,4
992,63.78,85,4
993,86.11,85,4
994,59.89,85,4
995,79.3,85,4
996,76.76,86,4
997,74.44,86,4
998,79.08,86,4
999,84,87,4
1000,65.29,87,4
1001,82.14,86,4
1002,82.6,86,4
1003,82.75,87,4
1004,85.83,85,4
1005,87.45,86,4
1006,74.23,86,4
1007,74.5,85,4
1008,86.09,86,4
1009,83.18,85,4
1010,87.9,86,4
1011,88.09,86,4
1012,67.55,85,4
1013,57.67,85,4
1014,72.75,85,4
1015,84.11,86,4
1016,74.25,86,4
1017,76.93,87,4
1018,90.73,86,4
1019,76.89,87,4
1020,79.33,87,4
1021,80.2,86,4
1022,74.73,87,4
1023,70.57,87,4
1024,86.78,88,4
1025,80.92,87,4
1026,76.6,87,4
1027,83,86,4
1028,85.08,87,4
1029,81.4,87,4
1030,86.6,85,4
1031,84.64,88,4
1032,73.47,89,4
1033,78.67,87,4
1034,76.67,86,4
1035,81.86,86,4
1036,70.87,87,4
1037,77.29,86,4
1038,63.7,87,4
1039,81.22,86,4
1040,91.8,88,4
1041,83.44,86,4
1042,62.09,87,4
1043,80.5,86,4
1044,80.4,87,4
1045,80.38,85,4
1046,77.73,87,4
1047,73,87,4
1048,87.44,87,4
1049,67.74,87,4
1050,76.09,87,4
1051,84,88,4
1052,73.54,87,4
1053,86.56,88,4
1054,79.17,87,4
1055,87,86,4
1056,82,85,4
1057,89.11,88,4
1058,67.09,86,4
1059,81.24,86,4
1060,40,81,4
1061,66,81,4
1062,89.9,87,4
1063,89.5,86,4
1064,80.75,86,4
1065,90.88,90.5,4
1066,70.4,88,4
1067,89.12,88,4
1068,87,89,4
1069,74.45,88,4
1070,89.09,87,4
1071,84.69,88,4
1072,45.74,82,3
1073,87.06,86,4
1074,84.18,88,4
1075,73.28,88,4
1076,75.88,88,4
1077,83.55,88,4
1078,79.4,88,4
1079,81.87,85,4
1080,66.63,88,4
1081,82.95,88,4
1082,91.75,86,4
1083,78.55,86,4
1084,82.57,88,4
1085,82.75,89,4
1086,74.91,86,4
1087,73.44,88,4
1088,78.5,88,4
1089,88.6,88,4
1090,93.5,89,4
1091,78.89,89,3
1092,74.23,86,4
1093,83.9,88,4
1094,80.69,88,4
1095,89.9,88,4
1096,80.18,88,4
1097,86.85,89,4
1098,85.1,86,4
1099,85.53,88,4
1100,84.85,86,4
1101,80.94,86,4
1102,87.33,90,4
1103,89.38,86,4
1104,78.27,86,4
1105,84.31,86,4
1106,70.94,88,4
1107,71.57,88,4
1108,82.54,88,4
1109,68.24,86,4
1110,92,88,4
1111,88.33,88,4
1112,87.32,88,4
1113,71.43,86,4
1114,88.9,86,4
1115,84.32,89,3
1116,70.58,86,4
1117,81.04,88,4
1118,69,86,4
1119,77.48,87,4
1120,72.61,89,4
1121,82,89,4
1122,83.15,87,4
1123,91.27,88,4
1124,90.85,93.5,4
1125,89.55,86,4
1126,78.62,86,4
1127,72.64,88,4
1128,71.82,85,4
1129,82.85,86,4
1130,22.24,84,3
1131,84.38,88,4
1132,68.47,87,4
1133,84,87,4
1134,89.23,90,4
1135,73.05,86,4
1136,79.18,88,4
1137,88.8,90,4
1138,74.95,86,4
1139,85.85,90,4
1140,80.33,86,4
1141,78.05,86,4
1142,65.15,89,4
1143,84.12,89,4
1144,84.53,87,4
1145,88.75,87,4
1146,71.82,87,4
1147,87.14,89,4
1148,90.17,88,4
1149,86.5,85,4
1150,67.14,88,4
1151,75.33,88,4
1152,78.68,88,3
1153,85.82,88,4
1154,74.42,85,4
1155,71.5,89,4
1156,81.67,89,4
1157,78.9,86,4
1158,86.07,86,4
1159,75.65,82,4
1160,77.95,85,4
1161,85.65,87,4
1162,71.71,85,4
1163,90.8,87,4
1164,63.8,82,4
1165,85.85,89,4
1166,81.57,87,4
1167,86.92,87,4
1168,78.29,90,4
1169,83.44,87,4
1170,59.45,88,4
1171,87.9,86,4
1172,79.55,88,4
1173,77,86,4
1174,82,86,4
1175,68.52,89,4
1176,76.67,87,4
1177,72.64,87,4
1178,61.85,87,4
1179,77.44,88,4
1180,73.31,87,4
1181,71.38,86,4
1182,85.44,87,4
1183,79,86,4
1184,70.83,87,4
1185,69.36,86,4
1186,81.78,87,4
1187,86,87,4
1188,81.67,87,4
1189,80.6,86,4
1190,83.78,88,4
1191,78,86,4
1192,74.3,88,4
1193,42.54,86,3
1194,79,87,4
1195,88.07,87,4
1196,84.6,88,4
1197,85.2,87,4
1198,58.53,87,4
1199,75.56,86,4
1200,65.21,87,4
1201,85,86,4
1202,71.92,87,4
1203,57.5,87,4
1204,84,86,4
1205,80.06,87,4
1206,68.28,86,4
1207,83,88,4
1208,85.92,86,4
1209,79.44,87,4
1210,60,87,4
1211,60.35,86,4
1212,81.78,87,4
1213,58.87,86,4
1214,91.56,87,4
1215,90.85,87,4
1216,82.5,87,4
1217,75.72,86,4
1218,70.17,86,4
1219,60.5,87,4
1220,58.88,87,4
1221,74.59,86,4
1222,81.27,86,4
1223,87,90,4
1224,70.3,87,4
1225,67,85,4
1226,81.17,86,4
1227,68.47,85,4
1228,79.36,86,4
1229,84.42,86,4
1230,64.14,87,4
1231,81.2,86,4
1232,77.2,86,4
1233,45.67,85,4
1234,73.22,86,4
1235,72.18,86,4
1236,76.45,85,4
1237,83.69,85,4
1238,71.92,87,4
1239,72.11,89,4
1240,77.22,85,4
1241,71.94,85,4
1242,80.27,85,4
1243,72.38,85,4
1244,71,85,4
1245,74.83,87,4
1246,71.19,85,4
1247,86.57,90,4
1248,78.45,85,4
1249,78.79,85,4
1250,78.22,86,4
1251,54,85,4
1252,83.74,85,4
1253,61.2,87,4
1254,81.14,86,4
1255,64.79,88,4
1256,68.23,88,4
1257,55.36,88,4
1258,66.62,87,4
1259,71.25,86,4
1260,49.67,86,4
1261,72.37,88,4
1262,72.59,86,4
1263,78.43,89,4
1264,73,86,4
1265,62.05,86,4
1266,70.9,86,4
1267,63.56,87,4
1268,82.86,85,4
1269,61.64,86,4
1270,58.41,88,4
1271,55.74,87,4
1272,63.86,86,4
1273,74.57,87,4
1274,54.68,87,4
1275,65.3,90,4
